"","labID","genos","missing"
"1","z0005757",303,65
"2","z0005758",331,37
"3","z0009880",83,285
"4","z0011162",249,119
"5","z0011944",329,39
"6","z0012201",283,85
"7","z0012701",329,39
"8","z0012702",295,73
"9","z0016577",320,48
"10","z0016578",259,109
"11","z0016579",325,43
"12","z0017317",262,106
"13","z0018264",333,35
"14","z0025405",1,367
"15","z0025439",289,79
"16","z0029828",319,49
"17","z0029829",282,86
"18","z0029831",331,37
"19","z0029833",333,35
"20","z0029846",281,87
"21","z0029860",325,43
"22","z0029861",5,363
"23","z0029863",320,48
"24","z0029864",301,67
"25","z0029865",282,86
"26","z0029866",1,367
"27","z0030424",247,121
"28","z0030475",255,113
"29","z0032258",271,97
"30","z0037607",322,46
"31","z0037609",244,124
"32","z0037610",1,367
"33","z0037611",47,321
"34","z0037624",260,108
"35","z0040275",297,71
"36","z0040287",316,52
"37","z0040308",323,45
"38","z0040333",328,40
"39","z0040334",323,45
"40","z0040337",312,56
"41","z0040345",326,42
"42","z0040357",311,57
"43","z0040363",259,109
"44","z0040364",335,33
"45","z0040387",322,46
"46","z0040403",277,91
"47","z0040413",186,182
"48","z0040439",336,32
"49","z0040451",1,367
"50","z0040465",259,109
"51","z0040513",270,98
"52","z0040957",39,329
"53","z0040960",1,367
"54","z0040961",287,81
"55","z0040985",275,93
"56","z0041026",336,32
"57","z0041051",235,133
"58","z0041072",2,366
"59","z0041115",308,60
"60","z0041145",3,365
"61","z0041153",250,118
"62","z0041233",315,53
"63","z0041243",324,44
"64","z0041248",305,63
"65","z0041250",323,45
"66","z0041274",320,48
"67","z0041465",277,91
"68","z0041472",327,41
"69","z0041480",295,73
"70","z0041483",337,31
"71","z0041494",286,82
"72","z0041498",329,39
"73","z0041501",326,42
"74","z0041507",305,63
"75","z0041512",336,32
"76","z0041519",325,43
"77","z0041521",53,315
"78","z0041522",270,98
"79","z0041526",325,43
"80","z0041527",276,92
"81","z0042288",205,163
"82","z0043243",320,48
"83","z0043278",320,48
"84","z0043475",269,99
"85","z0043477",337,31
"86","z0043478",320,48
"87","z0043481",332,36
"88","z0043487",6,362
"89","z0043488",12,356
"90","z0043489",305,63
"91","z0043491",284,84
"92","z0043493",320,48
"93","z0043494",319,49
"94","z0043496",329,39
"95","z0043498",321,47
"96","z0043504",302,66
"97","z0043513",14,354
"98","z0043526",316,52
"99","z0043566",317,51
"100","z0043572",337,31
"101","z0043599",310,58
"102","z0043627",25,343
"103","z0043642",330,38
"104","z0043649",326,42
"105","z0043650",330,38
"106","z0043652",327,41
"107","z0043668",325,43
"108","z0043674",328,40
"109","z0043686",324,44
"110","z0043693",327,41
"111","z0043704",277,91
"112","z0043807",325,43
"113","z0043819",325,43
"114","z0043839",272,96
"115","z0043876",305,63
"116","z0043877",217,151
"117","z0043891",256,112
"118","z0043898",1,367
"119","z0043904",1,367
"120","z0043915",217,151
"121","z0043940",293,75
"122","z0043954",328,40
"123","z0043966",309,59
"124","z0043979",2,366
"125","z0043980",335,33
"126","z0043994",329,39
"127","z0044017",286,82
"128","z0044019",279,89
"129","z0044023",207,161
"130","z0044033",328,40
"131","z0044042",315,53
"132","z0044044",1,367
"133","z0044047",243,125
"134","z0044059",6,362
"135","z0044064",282,86
"136","z0044432",281,87
"137","z0045326",333,35
"138","z0045329",331,37
"139","z0045331",311,57
"140","z0045332",324,44
"141","z0045333",307,61
"142","z0045337",311,57
"143","z0045342",283,85
"144","z0045347",323,45
"145","z0045350",330,38
"146","z0045352",315,53
"147","z0045357",330,38
"148","z0045358",322,46
"149","z0045371",324,44
"150","z0045398",325,43
"151","z0045399",323,45
"152","z0045401",241,127
"153","z0045404",329,39
"154","z0045405",310,58
"155","z0045407",321,47
"156","z0045719",329,39
"157","z0045720",323,45
"158","z0045728",327,41
"159","z0045731",327,41
"160","z0045733",328,40
"161","z0045736",325,43
"162","z0045739",322,46
"163","z0045740",325,43
"164","z0045741",328,40
"165","z0045742",328,40
"166","z0045776",331,37
"167","z0045779",326,42
"168","z0045781",329,39
"169","z0045788",310,58
"170","z0045789",325,43
"171","z0045791",313,55
"172","z0045792",253,115
"173","z0045793",330,38
"174","z0046925",179,189
"175","z0047562",278,90
"176","z0047587",1,367
"177","z0047603",1,367
"178","z0047854",324,44
"179","z0049019",320,48
"180","z0049020",326,42
"181","z0051185",329,39
"182","z0051324",307,61
"183","z0051326",329,39
"184","z0051327",316,52
"185","z0051328",320,48
"186","z0051380",328,40
"187","z0051399",1,367
"188","z0051400",333,35
"189","z0051402",334,34
"190","z0051404",300,68
"191","z0051405",330,38
"192","z0051431",250,118
"193","z0051447",1,367
"194","z0051816",21,347
"195","z0051840",214,154
"196","z0051844",237,131
"197","z0051875",231,137
"198","z0051885",300,68
"199","z0051888",326,42
"200","z0051891",326,42
"201","z0051893",314,54
"202","z0051895",329,39
"203","z0051898",330,38
"204","z0051899",306,62
"205","z0051906",1,367
"206","z0051918",327,41
"207","z0051929",327,41
"208","z0051939",288,80
"209","z0051945",1,367
"210","z0051947",316,52
"211","z0051959",322,46
"212","z0051968",305,63
"213","z0052846",327,41
"214","z0052882",323,45
"215","z0053020",255,113
"216","z0053024",283,85
"217","z0053025",313,55
"218","z0053031",326,42
"219","z0053032",324,44
"220","z0053040",309,59
"221","z0053051",326,42
"222","z0053054",307,61
"223","z0053055",327,41
"224","z0053071",317,51
"225","z0053073",320,48
"226","z0053078",327,41
"227","z0053082",321,47
"228","z0053083",286,82
"229","z0053090",290,78
"230","z0053096",335,33
"231","z0053100",301,67
"232","z0053101",328,40
"233","z0053102",295,73
"234","z0053103",323,45
"235","z0053111",321,47
"236","z0053131",327,41
"237","z0053132",327,41
"238","z0053133",328,40
"239","z0053138",331,37
"240","z0053142",316,52
"241","z0053149",326,42
"242","z0053754",324,44
"243","z0053756",322,46
"244","z0053757",146,222
"245","z0053758",269,99
"246","z0053759",330,38
"247","z0053760",328,40
"248","z0053842",321,47
"249","z0053843",307,61
"250","z0053844",297,71
"251","z0053845",123,245
"252","z0053846",318,50
"253","z0053847",324,44
"254","z0053849",324,44
"255","z0055903",326,42
"256","z0055908",1,367
"257","z0055909",125,243
"258","z0055910",213,155
"259","z0055912",304,64
"260","z0055916",270,98
"261","z0055931",314,54
"262","z0055932",1,367
"263","z0055936",73,295
"264","z0055944",314,54
"265","z0055947",293,75
"266","z0055948",56,312
"267","z0055957",82,286
"268","z0055962",308,60
"269","z0055963",256,112
"270","z0055965",241,127
"271","z0055970",275,93
"272","z0055971",301,67
"273","z0055977",306,62
"274","z0055986",259,109
"275","z0055990",306,62
"276","z0055996",317,51
"277","z0055997",314,54
"278","z0055998",312,56
"279","z0055999",318,50
"280","z0056011",300,68
"281","z0056029",315,53
"282","z0056034",323,45
"283","z0056056",241,127
"284","z0056058",313,55
"285","z0056059",299,69
"286","z0056062",326,42
"287","z0056063",317,51
"288","z0056064",334,34
"289","z0056065",331,37
"290","z0056069",330,38
"291","z0056073",332,36
"292","z0056076",314,54
"293","z0056079",294,74
"294","z0056081",1,367
"295","z0056082",10,358
"296","z0056085",325,43
"297","z0056089",18,350
"298","z0056090",1,367
"299","z0056092",321,47
"300","z0056093",1,367
"301","z0056095",324,44
"302","z0056102",1,367
"303","z0056103",301,67
"304","z0056106",1,367
"305","z0056111",1,367
"306","z0056337",164,204
"307","z0056374",302,66
"308","z0056375",332,36
"309","z0056377",328,40
"310","z0056378",328,40
"311","z0056380",1,367
"312","z0056382",330,38
"313","z0056384",315,53
"314","z0056386",300,68
"315","z0056389",324,44
"316","z0056391",322,46
"317","z0056392",288,80
"318","z0056393",297,71
"319","z0056394",327,41
"320","z0056395",327,41
"321","z0056397",327,41
"322","z0056399",328,40
"323","z0061527",318,50
"324","z0061967",327,41
"325","z0061969",327,41
"326","z0061978",1,367
"327","z0061980",331,37
"328","z0061982",2,366
"329","z0062886",277,91
"330","z0063092",321,47
"331","z0063269",55,313
"332","z0063273",118,250
"333","z0063275",62,306
"334","z0063304",1,367
"335","z0063328",61,307
"336","z0063342",19,349
"337","z0066166",323,45
"338","z0066792",322,46
"339","z0066805",321,47
"340","z0067213",294,74
"341","z0068471",322,46
"342","z0075696",305,63
"343","z0100814",142,226
"344","z0101084",302,66
"345","z0107055",330,38
"346","z0107073",334,34
"347","z0107078",327,41
"348","z0107080",323,45
"349","z0107099",324,44
"350","z0107101",334,34
"351","z0108480",321,47
"352","z0108489",327,41
"353","z0108494",1,367
"354","z0108508",326,42
"355","z0108510",327,41
"356","z0108513",329,39
"357","z0108516",1,367
"358","z0113619",4,364
"359","z0113628",320,48
"360","z0133302",268,100
"361","z0145401",169,199
"362","z0146087",220,148
"363","z0160234",1,367
"364","z0173485",328,40
"365","z0174005",298,70
"366","z0175351",1,367
"367","z0175371",323,45
"368","z0175377",321,47
"369","z0175378",334,34
"370","z0175912",307,61
"371","z0175915",328,40
"372","z0175916",319,49
"373","z0175927",331,37
"374","z0175928",323,45
"375","z0175937",324,44
"376","z0175950",312,56
"377","z0178294",1,367
"378","z0178296",318,50
"379","z0178348",286,82
"380","z0187811",327,41
"381","z0187819",303,65
"382","z0187842",330,38
"383","z0187846",314,54
"384","z0187857",317,51
"385","z0187859",328,40
"386","z0187860",332,36
"387","z0187868",269,99
"388","z0187885",331,37
"389","z0187906",292,76
"390","z0187911",312,56
"391","z0195258",333,35
"392","z0195642",1,367
"393","z0195643",319,49
"394","z0195644",319,49
"395","z0195645",1,367
"396","z0195646",1,367
"397","z0195647",172,196
"398","z0195648",318,50
"399","z0195649",48,320
"400","z0195650",279,89
"401","z0195651",293,75
"402","z0195653",321,47
"403","z0195655",332,36
"404","z0195656",1,367
"405","z0195657",274,94
"406","z0195659",283,85
"407","z0195662",11,357
"408","z0195663",327,41
"409","z0195664",327,41
"410","z0195665",73,295
"411","z0195667",282,86
"412","z0195668",324,44
"413","z0195669",26,342
"414","z0195670",319,49
"415","z0195671",317,51
"416","z0195672",318,50
"417","z0195673",327,41
"418","z0195674",63,305
"419","z0195675",293,75
"420","z0195677",259,109
"421","z0195678",324,44
"422","z0195679",12,356
"423","z0195680",13,355
"424","z0195681",19,349
"425","z0195682",320,48
"426","z0195683",325,43
"427","z0195684",316,52
"428","z0195687",255,113
"429","z0195688",330,38
"430","z0195689",317,51
"431","z0195690",1,367
"432","z0195691",330,38
"433","z0195693",322,46
"434","z0195694",1,367
"435","z0195695",20,348
"436","z0195696",316,52
"437","z0195697",309,59
"438","z0195699",329,39
"439","z0195700",321,47
"440","z0195701",299,69
"441","z0195702",329,39
"442","z0195703",325,43
"443","z0195704",328,40
"444","z0195705",323,45
"445","z0195706",326,42
"446","z0195707",328,40
"447","z0195708",326,42
"448","z0195709",328,40
"449","z0195710",328,40
"450","z0195711",327,41
"451","z0195712",327,41
"452","z0195713",336,32
"453","z0195714",326,42
"454","z0195715",324,44
"455","z0195716",330,38
"456","z0195717",329,39
"457","z0195718",283,85
"458","z0195720",318,50
"459","z0195721",1,367
"460","z0195722",326,42
"461","z0195724",294,74
"462","z0195725",308,60
"463","z0195726",270,98
"464","z0195727",310,58
"465","z0195728",282,86
"466","z0195729",311,57
"467","z0195730",322,46
"468","z0195731",295,73
"469","z0195732",272,96
"470","z0195733",331,37
